algorithm,comparisons,match,wall_sec,qr_file,qr_idx,text_h,text_w
Greedy KMP,3076,"(30, 30)",0.00158,benign_10044.png,53,41,41
Greedy BM,729,"(30, 30)",0.000469,benign_10044.png,53,41,41
Bird-KMP,1309,"(30, 30)",0.002459,benign_10044.png,53,41,41
Bird-BM,258,"(30, 30)",0.002187,benign_10044.png,53,41,41
Naive,2248,"(30, 30)",0.001784,benign_10045.png,54,41,41
Rabin-Karp,1166,"(30, 30)",0.00208,benign_10045.png,54,41,41
Vectorized RK,1166,"(30, 30)",0.00111,benign_10045.png,54,41,41
Greedy KMP,3095,"(30, 30)",0.00147,benign_10045.png,54,41,41
Greedy BM,718,"(30, 30)",0.000448,benign_10045.png,54,41,41
Bird-KMP,1313,"(30, 30)",0.002856,benign_10045.png,54,41,41
Bird-BM,268,"(30, 30)",0.002216,benign_10045.png,54,41,41
Naive,2205,"(30, 30)",0.002227,benign_10046.png,55,41,41
Rabin-Karp,1166,"(30, 30)",0.00203,benign_10046.png,55,41,41
Vectorized RK,1166,"(30, 30)",0.001134,benign_10046.png,55,41,41
Greedy KMP,3074,"(30, 30)",0.001454,benign_10046.png,55,41,41
Greedy BM,696,"(30, 30)",0.000443,benign_10046.png,55,41,41
Bird-KMP,1317,"(30, 30)",0.002466,benign_10046.png,55,41,41
Bird-BM,259,"(30, 30)",0.003213,benign_10046.png,55,41,41
Naive,2253,"(30, 30)",0.001785,benign_10047.png,56,41,41
Rabin-Karp,1166,"(30, 30)",0.002028,benign_10047.png,56,41,41
Vectorized RK,1166,"(30, 30)",0.001123,benign_10047.png,56,41,41
Greedy KMP,3114,"(30, 30)",0.00148,benign_10047.png,56,41,41
Greedy BM,716,"(30, 30)",0.000451,benign_10047.png,56,41,41
Bird-KMP,1320,"(30, 30)",0.002475,benign_10047.png,56,41,41
Bird-BM,267,"(30, 30)",0.002205,benign_10047.png,56,41,41
Naive,2306,"(30, 30)",0.002536,benign_10048.png,57,41,41
Rabin-Karp,1166,"(30, 30)",0.002044,benign_10048.png,57,41,41
Vectorized RK,1166,"(30, 30)",0.001158,benign_10048.png,57,41,41
Greedy KMP,3116,"(30, 30)",0.001482,benign_10048.png,57,41,41
Greedy BM,764,"(30, 30)",0.000474,benign_10048.png,57,41,41
Bird-KMP,1317,"(30, 30)",0.00247,benign_10048.png,57,41,41
Bird-BM,264,"(30, 30)",0.002198,benign_10048.png,57,41,41
Naive,2240,"(30, 30)",0.001777,benign_10049.png,58,41,41
Rabin-Karp,1166,"(30, 30)",0.002535,benign_10049.png,58,41,41
Vectorized RK,1166,"(30, 30)",0.001173,benign_10049.png,58,41,41
Greedy KMP,3112,"(30, 30)",0.001473,benign_10049.png,58,41,41
Greedy BM,688,"(30, 30)",0.000441,benign_10049.png,58,41,41
Bird-KMP,1320,"(30, 30)",0.002471,benign_10049.png,58,41,41
Bird-BM,266,"(30, 30)",0.002194,benign_10049.png,58,41,41
Naive,2095,"(30, 30)",0.001707,benign_1005.png,59,41,41
Rabin-Karp,1166,"(30, 30)",0.002029,benign_1005.png,59,41,41
Vectorized RK,1166,"(30, 30)",0.001103,benign_1005.png,59,41,41
Greedy KMP,3034,"(30, 30)",0.001701,benign_1005.png,59,41,41
Greedy BM,635,"(30, 30)",0.000435,benign_1005.png,59,41,41
Bird-KMP,1308,"(30, 30)",0.002774,benign_1005.png,59,41,41
Bird-BM,277,"(30, 30)",0.002206,benign_1005.png,59,41,41
