algorithm,comparisons,match,wall_sec,qr_file,qr_idx,text_h,text_w
Bird-KMP,1319,"(30, 30)",0.002669,benign_10005.png,10,41,41
Bird-BM,263,"(30, 30)",0.002641,benign_10005.png,10,41,41
Naive,2225,"(30, 30)",0.001786,benign_10006.png,11,41,41
Rabin-Karp,1166,"(30, 30)",0.002045,benign_10006.png,11,41,41
Vectorized RK,1166,"(30, 30)",0.001128,benign_10006.png,11,41,41
Greedy KMP,3081,"(30, 30)",0.001501,benign_10006.png,11,41,41
Greedy BM,718,"(30, 30)",0.00047,benign_10006.png,11,41,41
Bird-KMP,1314,"(30, 30)",0.00247,benign_10006.png,11,41,41
Bird-BM,267,"(30, 30)",0.002449,benign_10006.png,11,41,41
Naive,2251,"(30, 30)",0.002076,benign_10007.png,12,41,41
Rabin-Karp,1166,"(30, 30)",0.002224,benign_10007.png,12,41,41
Vectorized RK,1166,"(30, 30)",0.001159,benign_10007.png,12,41,41
Greedy KMP,3090,"(30, 30)",0.001515,benign_10007.png,12,41,41
Greedy BM,739,"(30, 30)",0.000483,benign_10007.png,12,41,41
Bird-KMP,1311,"(30, 30)",0.002469,benign_10007.png,12,41,41
Bird-BM,261,"(30, 30)",0.002193,benign_10007.png,12,41,41
Naive,2286,"(30, 30)",0.002048,benign_10008.png,13,41,41
Rabin-Karp,1166,"(30, 30)",0.002064,benign_10008.png,13,41,41
Vectorized RK,1166,"(30, 30)",0.001379,benign_10008.png,13,41,41
Greedy KMP,3106,"(30, 30)",0.001522,benign_10008.png,13,41,41
Greedy BM,770,"(30, 30)",0.00049,benign_10008.png,13,41,41
Bird-KMP,1319,"(30, 30)",0.002469,benign_10008.png,13,41,41
Bird-BM,270,"(30, 30)",0.002209,benign_10008.png,13,41,41
Naive,2119,"(30, 30)",0.001707,benign_10009.png,14,41,41
Rabin-Karp,1166,"(30, 30)",0.002315,benign_10009.png,14,41,41
Vectorized RK,1166,"(30, 30)",0.001165,benign_10009.png,14,41,41
Greedy KMP,3035,"(30, 30)",0.001448,benign_10009.png,14,41,41
Greedy BM,698,"(30, 30)",0.000446,benign_10009.png,14,41,41
Bird-KMP,1307,"(30, 30)",0.002849,benign_10009.png,14,41,41
Bird-BM,263,"(30, 30)",0.0022,benign_10009.png,14,41,41
Naive,2228,"(30, 30)",0.001782,benign_1001.png,15,41,41
Rabin-Karp,1166,"(30, 30)",0.002059,benign_1001.png,15,41,41
Vectorized RK,1166,"(30, 30)",0.001118,benign_1001.png,15,41,41
Greedy KMP,3068,"(30, 30)",0.001565,benign_1001.png,15,41,41
Greedy BM,726,"(30, 30)",0.000458,benign_1001.png,15,41,41
Bird-KMP,1302,"(30, 30)",0.00246,benign_1001.png,15,41,41
Bird-BM,273,"(30, 30)",0.002425,benign_1001.png,15,41,41
Naive,2231,"(30, 30)",0.001782,benign_10010.png,16,41,41
Rabin-Karp,1166,"(30, 30)",0.002079,benign_10010.png,16,41,41
Vectorized RK,1166,"(30, 30)",0.001134,benign_10010.png,16,41,41
Greedy KMP,3074,"(30, 30)",0.001458,benign_10010.png,16,41,41
Greedy BM,734,"(30, 30)",0.000462,benign_10010.png,16,41,41
Bird-KMP,1301,"(30, 30)",0.00272,benign_10010.png,16,41,41
Bird-BM,262,"(30, 30)",0.002203,benign_10010.png,16,41,41
Naive,2135,"(30, 30)",0.001783,benign_10011.png,17,41,41
Rabin-Karp,1166,"(30, 30)",0.002353,benign_10011.png,17,41,41
Vectorized RK,1166,"(30, 30)",0.001178,benign_10011.png,17,41,41
Greedy KMP,3033,"(30, 30)",0.001436,benign_10011.png,17,41,41
Greedy BM,674,"(30, 30)",0.000433,benign_10011.png,17,41,41
Bird-KMP,1320,"(30, 30)",0.002463,benign_10011.png,17,41,41
Bird-BM,275,"(30, 30)",0.002374,benign_10011.png,17,41,41
Naive,2183,"(30, 30)",0.001757,benign_10012.png,18,41,41
Rabin-Karp,1166,"(30, 30)",0.002045,benign_10012.png,18,41,41
Vectorized RK,1166,"(30, 30)",0.001111,benign_10012.png,18,41,41
Greedy KMP,3042,"(30, 30)",0.001752,benign_10012.png,18,41,41
Greedy BM,716,"(30, 30)",0.000454,benign_10012.png,18,41,41
Bird-KMP,1302,"(30, 30)",0.002461,benign_10012.png,18,41,41
Bird-BM,280,"(30, 30)",0.002196,benign_10012.png,18,41,41
Naive,2269,"(30, 30)",0.002031,benign_10013.png,19,41,41
Rabin-Karp,1166,"(30, 30)",0.002046,benign_10013.png,19,41,41
Vectorized RK,1166,"(30, 30)",0.001123,benign_10013.png,19,41,41
Greedy KMP,3106,"(30, 30)",0.00148,benign_10013.png,19,41,41
Greedy BM,763,"(30, 30)",0.000473,benign_10013.png,19,41,41
Bird-KMP,1322,"(30, 30)",0.002718,benign_10013.png,19,41,41
Bird-BM,272,"(30, 30)",0.002207,benign_10013.png,19,41,41
Naive,2169,"(30, 30)",0.001751,benign_10014.png,20,41,41
Rabin-Karp,1166,"(30, 30)",0.002059,benign_10014.png,20,41,41
Vectorized RK,1166,"(30, 30)",0.001787,benign_10014.png,20,41,41
Greedy KMP,3061,"(30, 30)",0.001448,benign_10014.png,20,41,41
Greedy BM,709,"(30, 30)",0.000455,benign_10014.png,20,41,41
Bird-KMP,1311,"(30, 30)",0.002471,benign_10014.png,20,41,41
Bird-BM,263,"(30, 30)",0.002223,benign_10014.png,20,41,41
Naive,2271,"(30, 30)",0.001803,benign_10015.png,21,41,41
Rabin-Karp,1166,"(30, 30)",0.002052,benign_10015.png,21,41,41
Vectorized RK,1166,"(30, 30)",0.001142,benign_10015.png,21,41,41
Greedy KMP,3118,"(30, 30)",0.001676,benign_10015.png,21,41,41
Greedy BM,745,"(30, 30)",0.000478,benign_10015.png,21,41,41
Bird-KMP,1327,"(30, 30)",0.002478,benign_10015.png,21,41,41
Bird-BM,264,"(30, 30)",0.002198,benign_10015.png,21,41,41
Naive,2271,"(30, 30)",0.001867,benign_10016.png,22,41,41
Rabin-Karp,1166,"(30, 30)",0.002286,benign_10016.png,22,41,41
Vectorized RK,1166,"(30, 30)",0.001171,benign_10016.png,22,41,41
Greedy KMP,3090,"(30, 30)",0.00147,benign_10016.png,22,41,41
Greedy BM,761,"(30, 30)",0.000486,benign_10016.png,22,41,41
Bird-KMP,1324,"(30, 30)",0.002543,benign_10016.png,22,41,41
Bird-BM,267,"(30, 30)",0.002197,benign_10016.png,22,41,41
Naive,2217,"(30, 30)",0.001817,benign_10017.png,23,41,41
Rabin-Karp,1166,"(30, 30)",0.002042,benign_10017.png,23,41,41
Vectorized RK,1166,"(30, 30)",0.001188,benign_10017.png,23,41,41
Greedy KMP,3066,"(30, 30)",0.001777,benign_10017.png,23,41,41
Greedy BM,749,"(30, 30)",0.000509,benign_10017.png,23,41,41
