algorithm,comparisons,match,wall_sec,pattern_size,text_size,seed
Bird-KMP,159017,,0.124881,3,200,123
Bird-BM,171690,,0.127658,3,200,123
Naive,40781,,0.047826,3,200,2024
Rabin-Karp,39204,,0.118731,3,200,2024
Vectorized RK,39204,,0.027995,3,200,2024
Greedy KMP,79791,,0.041576,3,200,2024
Greedy BM,14580,,0.013011,3,200,2024
Bird-KMP,159407,,0.124698,3,200,2024
Bird-BM,158814,,0.1218,3,200,2024
Naive,40190,,0.04988,3,200,999
Rabin-Karp,39204,,0.122658,3,200,999
Vectorized RK,39204,,0.025621,3,200,999
Greedy KMP,79201,,0.040624,3,200,999
Greedy BM,117117,,0.078313,3,200,999
Bird-KMP,237623,,0.160323,3,200,999
Bird-BM,392396,,0.224111,3,200,999
Naive,249496,,0.288185,3,500,42
Rabin-Karp,248004,,0.793957,3,500,42
Vectorized RK,248004,,0.172776,3,500,42
Greedy KMP,497504,,0.261623,3,500,42
Greedy BM,249496,,0.230375,3,500,42
Bird-KMP,2234050,,1.26765,3,500,42
Bird-BM,2315059,,1.321003,3,500,42
Naive,249496,,0.302527,3,500,7
Rabin-Karp,248004,,0.716198,3,500,7
Vectorized RK,248004,,0.159588,3,500,7
Greedy KMP,497504,,0.247631,3,500,7
Greedy BM,249496,,0.233465,3,500,7
Bird-KMP,2235543,,1.215813,3,500,7
Bird-BM,2317216,,1.249669,3,500,7
Naive,250492,,0.283886,3,500,123
Rabin-Karp,248004,,0.700225,3,500,123
Vectorized RK,248004,,0.15995,3,500,123
Greedy KMP,498002,,0.270561,3,500,123
Greedy BM,84991,,0.079146,3,500,123
Bird-KMP,997517,,0.73759,3,500,123
Bird-BM,1079190,,0.74829,3,500,123
Naive,251981,,0.304251,3,500,2024
Rabin-Karp,248004,,0.823597,3,500,2024
Vectorized RK,248004,,0.166154,3,500,2024
Greedy KMP,499491,,0.250039,3,500,2024
Greedy BM,86480,,0.077712,3,500,2024
Bird-KMP,998507,,0.697378,3,500,2024
Bird-BM,997014,,0.719013,3,500,2024
Naive,250490,,0.281307,3,500,999
Rabin-Karp,248004,,0.706207,3,500,999
Vectorized RK,248004,,0.155041,3,500,999
Greedy KMP,498001,,0.246696,3,500,999
Greedy BM,742767,,0.48543,3,500,999
Bird-KMP,1494023,,0.873853,3,500,999
Bird-BM,2480896,,1.256763,3,500,999
Naive,998996,,1.188574,3,1000,42
Rabin-Karp,996004,,3.029557,3,1000,42
Vectorized RK,996004,,0.64095,3,1000,42
Greedy KMP,1995004,,1.092002,3,1000,42
Greedy BM,998996,,1.002556,3,1000,42
Bird-KMP,8968050,,4.871917,3,1000,42
Bird-BM,9298055,,5.000598,3,1000,42
Naive,998996,,1.156727,3,1000,7
Rabin-Karp,996004,,2.861245,3,1000,7
Vectorized RK,996004,,0.624463,3,1000,7
Greedy KMP,1995004,,0.991568,3,1000,7
Greedy BM,998996,,0.959014,3,1000,7
Bird-KMP,8971043,,4.889766,3,1000,7
Bird-BM,9302380,,6.34034,3,1000,7
Naive,1000992,,1.322418,3,1000,123
Rabin-Karp,996004,,3.131445,3,1000,123
Vectorized RK,996004,,0.659497,3,1000,123
Greedy KMP,1996002,,1.012592,3,1000,123
