algorithm,comparisons,match,wall_sec,pattern_size,text_size,seed
Greedy KMP,1987014,,1.014393,7,1000,123
Greedy BM,334645,,0.313702,7,1000,123
Bird-KMP,20844319,,10.940994,7,1000,123
Bird-BM,20979518,,10.821555,7,1000,123
Naive,992011,,1.157781,7,1000,2024
Rabin-Karp,988036,,2.897701,7,1000,2024
Vectorized RK,988036,,1.210241,7,1000,2024
Greedy KMP,1987014,,1.024862,7,1000,2024
Greedy BM,4931487,,2.971116,7,1000,2024
Bird-KMP,11927170,,7.285604,7,1000,2024
Bird-BM,12062369,,7.304699,7,1000,2024
Naive,992009,,1.257491,7,1000,999
Rabin-Karp,988036,,2.909636,7,1000,999
Vectorized RK,988036,,1.24422,7,1000,999
Greedy KMP,1987013,,1.003303,7,1000,999
Greedy BM,2959637,,1.990064,7,1000,999
Bird-KMP,11921206,,7.30414,7,1000,999
Bird-BM,12056405,,7.28227,7,1000,999
Naive,206,,0.000204,13,25,42
Rabin-Karp,169,,0.003619,13,25,42
Vectorized RK,169,,0.000774,13,25,42
Greedy KMP,656,,0.00031,13,25,42
Greedy BM,313,,0.000216,13,25,42
Bird-KMP,8591,,0.004894,13,25,42
Bird-BM,8514,,0.004813,13,25,42
Naive,206,,0.000198,13,25,7
Rabin-Karp,169,,0.001123,13,25,7
Vectorized RK,169,,0.000534,13,25,7
Greedy KMP,655,,0.000306,13,25,7
Greedy BM,135,,0.000104,13,25,7
Bird-KMP,9291,,0.005711,13,25,7
Bird-BM,9214,,0.005058,13,25,7
Naive,220,,0.000207,13,25,123
Rabin-Karp,169,,0.001115,13,25,123
Vectorized RK,169,,0.000533,13,25,123
Greedy KMP,653,,0.000305,13,25,123
Greedy BM,124,,9.2e-05,13,25,123
Bird-KMP,9237,,0.006321,13,25,123
Bird-BM,9160,,0.005057,13,25,123
Naive,220,,0.000211,13,25,2024
Rabin-Karp,169,,0.001105,13,25,2024
Vectorized RK,169,,0.000548,13,25,2024
Greedy KMP,653,,0.000305,13,25,2024
Greedy BM,206,,0.000163,13,25,2024
Bird-KMP,8078,,0.004516,13,25,2024
Bird-BM,8001,,0.005023,13,25,2024
Naive,218,,0.000211,13,25,999
Rabin-Karp,169,,0.00112,13,25,999
Vectorized RK,169,,0.000543,13,25,999
Greedy KMP,653,,0.000306,13,25,999
Greedy BM,451,,0.000276,13,25,999
Bird-KMP,8733,,0.004913,13,25,999
Bird-BM,8656,,0.004841,13,25,999
Naive,1556,,0.001617,13,50,42
Rabin-Karp,1444,,0.00625,13,50,42
Vectorized RK,1444,,0.00415,13,50,42
Greedy KMP,3781,,0.001754,13,50,42
Greedy BM,2813,,0.001854,13,50,42
Bird-KMP,47691,,0.027718,13,50,42
Bird-BM,47453,,0.02713,13,50,42
Naive,1556,,0.001508,13,50,7
Rabin-Karp,1444,,0.005808,13,50,7
Vectorized RK,1444,,0.004008,13,50,7
Greedy KMP,3780,,0.001709,13,50,7
Greedy BM,817,,0.000794,13,50,7
Bird-KMP,50641,,0.028715,13,50,7
Bird-BM,50403,,0.029355,13,50,7
Naive,1595,,0.001726,13,50,123
Rabin-Karp,1444,,0.006325,13,50,123
Vectorized RK,1444,,0.006345,13,50,123
Greedy KMP,3778,,0.001806,13,50,123
Greedy BM,633,,0.000519,13,50,123
Bird-KMP,50562,,0.034187,13,50,123
Bird-BM,50324,,0.031101,13,50,123
Naive,1595,,0.001583,13,50,2024
Rabin-Karp,1444,,0.005889,13,50,2024
Vectorized RK,1444,,0.005632,13,50,2024
Greedy KMP,3778,,0.001846,13,50,2024
Greedy BM,1556,,0.001354,13,50,2024
Bird-KMP,44253,,0.026111,13,50,2024
Bird-BM,44015,,0.026561,13,50,2024
Naive,1593,,0.001636,13,50,999
Rabin-Karp,1444,,0.006504,13,50,999
Vectorized RK,1444,,0.004807,13,50,999
Greedy KMP,3778,,0.001838,13,50,999
Greedy BM,4163,,0.002588,13,50,999
Bird-KMP,48058,,0.028859,13,50,999
Bird-BM,47820,,0.029768,13,50,999
Naive,8006,,0.00919,13,100,42
Rabin-Karp,7744,,0.030894,13,100,42
Vectorized RK,7744,,0.022308,13,100,42
Greedy KMP,17531,,0.00854,13,100,42
Greedy BM,15313,,0.009958,13,100,42
Bird-KMP,219641,,0.130981,13,100,42
Bird-BM,219531,,0.133113,13,100,42
Naive,8006,,0.011032,13,100,7
Rabin-Karp,7744,,0.030764,13,100,7
Vectorized RK,7744,,0.02335,13,100,7
Greedy KMP,17530,,0.009069,13,100,7
Greedy BM,4092,,0.003719,13,100,7
Bird-KMP,230841,,0.136656,13,100,7
Bird-BM,230731,,0.13158,13,100,7
Naive,8095,,0.008886,13,100,123
Rabin-Karp,7744,,0.027866,13,100,123
Vectorized RK,7744,,0.023299,13,100,123
Greedy KMP,17528,,0.008072,13,100,123
Greedy BM,3049,,0.002408,13,100,123
Bird-KMP,230712,,0.130837,13,100,123
Bird-BM,230602,,0.133876,13,100,123
Naive,8095,,0.008927,13,100,2024
Rabin-Karp,7744,,0.028937,13,100,2024
Vectorized RK,7744,,0.022707,13,100,2024
Greedy KMP,17528,,0.008142,13,100,2024
Greedy BM,8006,,0.007024,13,100,2024
Bird-KMP,202853,,0.119777,13,100,2024
Bird-BM,202743,,0.121515,13,100,2024
Naive,8093,,0.009349,13,100,999
Rabin-Karp,7744,,0.029396,13,100,999
Vectorized RK,7744,,0.023167,13,100,999
Greedy KMP,17528,,0.008689,13,100,999
Greedy BM,22838,,0.013904,13,100,999
Bird-KMP,220458,,0.127632,13,100,999
Bird-BM,220348,,0.132245,13,100,999
Naive,35906,,0.043839,13,200,42
Rabin-Karp,35344,,0.126906,13,200,42
Vectorized RK,35344,,0.104598,13,200,42
Greedy KMP,75031,,0.036191,13,200,42
Greedy BM,70313,,0.047499,13,200,42
Bird-KMP,938541,,0.548716,13,200,42
Bird-BM,940487,,0.542294,13,200,42
Naive,35906,,0.038529,13,200,7
Rabin-Karp,35344,,0.119168,13,200,7
Vectorized RK,35344,,0.105529,13,200,7
Greedy KMP,75030,,0.035875,13,200,7
Greedy BM,18142,,0.01533,13,200,7
Bird-KMP,981241,,0.58501,13,200,7
Bird-BM,983187,,0.60917,13,200,7
Naive,36095,,0.041326,13,200,123
Rabin-Karp,35344,,0.123106,13,200,123
Vectorized RK,35344,,0.104707,13,200,123
Greedy KMP,75028,,0.03628,13,200,123
Greedy BM,12533,,0.010335,13,200,123
Bird-KMP,981012,,0.575554,13,200,123
Bird-BM,982958,,0.566782,13,200,123
Naive,36095,,0.044102,13,200,2024
Rabin-Karp,35344,,0.124835,13,200,2024
Vectorized RK,35344,,0.1032,13,200,2024
Greedy KMP,75028,,0.036026,13,200,2024
Greedy BM,35906,,0.029944,13,200,2024
Bird-KMP,865053,,0.503731,13,200,2024
Bird-BM,866999,,0.519615,13,200,2024
Naive,36093,,0.039853,13,200,999
Rabin-Karp,35344,,0.122405,13,200,999
Vectorized RK,35344,,0.104403,13,200,999
Greedy KMP,75028,,0.035554,13,200,999
Greedy BM,105188,,0.064577,13,200,999
Bird-KMP,940258,,0.555716,13,200,999
Bird-BM,942204,,0.557571,13,200,999
Naive,239606,,0.263668,13,500,42
Rabin-Karp,238144,,0.801906,13,500,42
Vectorized RK,238144,,0.726939,13,500,42
Greedy KMP,487531,,0.241578,13,500,42
Greedy BM,475313,,0.358064,13,500,42
Bird-KMP,6095241,,3.60492,13,500,42
Bird-BM,6110923,,3.643893,13,500,42
Naive,239606,,0.271112,13,500,7
Rabin-Karp,238144,,0.783827,13,500,7
Vectorized RK,238144,,0.711858,13,500,7
Greedy KMP,487530,,0.242707,13,500,7
Greedy BM,120292,,0.110284,13,500,7
Bird-KMP,6352441,,3.799073,13,500,7
Bird-BM,6368123,,3.824511,13,500,7
Naive,240095,,0.291298,13,500,123
Rabin-Karp,238144,,0.829005,13,500,123
Vectorized RK,238144,,0.724759,13,500,123
Greedy KMP,487528,,0.26151,13,500,123
Greedy BM,81333,,0.079502,13,500,123
Bird-KMP,6351912,,3.774928,13,500,123
Bird-BM,6367594,,3.751492,13,500,123
Naive,240095,,0.293612,13,500,2024
Rabin-Karp,238144,,0.81133,13,500,2024
Vectorized RK,238144,,0.692618,13,500,2024
Greedy KMP,487528,,0.245978,13,500,2024
Greedy BM,239606,,0.233008,13,500,2024
Bird-KMP,5611653,,3.358707,13,500,2024
Bird-BM,5627335,,3.325624,13,500,2024
Naive,240093,,0.266637,13,500,999
Rabin-Karp,238144,,0.786146,13,500,999
Vectorized RK,238144,,0.694944,13,500,999
Greedy KMP,487528,,0.245756,13,500,999
Greedy BM,712238,,0.481897,13,500,999
Bird-KMP,6099658,,3.666607,13,500,999
Bird-BM,6115340,,3.728777,13,500,999
Naive,979106,,1.285387,13,1000,42
Rabin-Karp,976144,,3.362053,13,1000,42
Vectorized RK,976144,,3.369662,13,1000,42
Greedy KMP,1975031,,0.987329,13,1000,42
Greedy BM,1950313,,1.432278,13,1000,42
Bird-KMP,24689741,,15.035342,13,1000,42
Bird-BM,24753039,,15.388344,13,1000,42
Naive,979106,,1.132057,13,1000,7
Rabin-Karp,976144,,3.273036,13,1000,7
Vectorized RK,976144,,3.628302,13,1000,7
Greedy KMP,1975030,,1.081075,13,1000,7
Greedy BM,490542,,0.482143,13,1000,7
Bird-KMP,25704441,,16.653375,13,1000,7
Bird-BM,25767739,,16.13414,13,1000,7
Naive,980095,,1.190547,13,1000,123
Rabin-Karp,976144,,3.382875,13,1000,123
Vectorized RK,976144,,3.286953,13,1000,123
Greedy KMP,1975028,,1.106146,13,1000,123
Greedy BM,330649,,0.327093,13,1000,123
Bird-KMP,25703412,,15.853136,13,1000,123
Bird-BM,25766710,,15.29704,13,1000,123
Naive,980095,,1.149474,13,1000,2024
Rabin-Karp,976144,,3.248722,13,1000,2024
Vectorized RK,976144,,2.938048,13,1000,2024
Greedy KMP,1975028,,1.054705,13,1000,2024
Greedy BM,979106,,0.945796,13,1000,2024
Bird-KMP,22722653,,13.494129,13,1000,2024
Bird-BM,22785951,,13.50808,13,1000,2024
Naive,980093,,1.116765,13,1000,999
Rabin-Karp,976144,,3.189917,13,1000,999
Vectorized RK,976144,,2.889291,13,1000,999
Greedy KMP,1975028,,0.986674,13,1000,999
Greedy BM,2923988,,1.917912,13,1000,999
Bird-KMP,24698658,,14.910648,13,1000,999
Bird-BM,24761956,,14.815339,13,1000,999
